# Rx Ry Ux Uy V type rho 
1.20833e-05 9.25e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 9.08333e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 8.91667e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 8.75e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 8.58333e-06 0 0 2.7776e-14 0 1000 
1.225e-05 8.91667e-06 0 0 2.7776e-14 0 1000 
1.225e-05 8.75e-06 0 0 2.7776e-14 0 1000 
1.225e-05 8.58333e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 8.91667e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 8.75e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 8.58333e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 8.41667e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 8.25e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 8.08333e-06 0 0 2.7776e-14 0 1000 
1.225e-05 8.41667e-06 0 0 2.7776e-14 0 1000 
1.225e-05 8.25e-06 0 0 2.7776e-14 0 1000 
1.225e-05 8.08333e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 8.41667e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 8.25e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 8.08333e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 7.91667e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 7.75e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 7.58333e-06 0 0 2.7776e-14 0 1000 
1.225e-05 7.91667e-06 0 0 2.7776e-14 0 1000 
1.225e-05 7.75e-06 0 0 2.7776e-14 0 1000 
1.225e-05 7.58333e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 7.91667e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 7.75e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 7.58333e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 7.41667e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 7.25e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 7.08333e-06 0 0 2.7776e-14 0 1000 
1.225e-05 7.41667e-06 0 0 2.7776e-14 0 1000 
1.225e-05 7.25e-06 0 0 2.7776e-14 0 1000 
1.225e-05 7.08333e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 7.41667e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 7.25e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 7.08333e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 6.91667e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 6.75e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 6.58333e-06 0 0 2.7776e-14 0 1000 
1.225e-05 6.91667e-06 0 0 2.7776e-14 0 1000 
1.225e-05 6.75e-06 0 0 2.7776e-14 0 1000 
1.225e-05 6.58333e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 6.91667e-06 0 0 2.7776e-14 0 1000 
